Age,Number,Percent,,,
Under 10,0,0.00%,,,
10-12,4,4.10%,,,
13-14,10,10.20%,,,
15,8,8.20%,,,
16,8,8.20%,,,
17,13,13.30%,,,
18,4,4.10%,,,
19,2,2.00%,,,
20,2,2.00%,,,
21,0,0.00%,,,
22,3,3.10%,,,
23,2,2.00%,,,
24,3,3.10%,,,
25-29,13,13.30%,,,
30-34,13,13.30%,,,
35-39,2,2.00%,,,
40-44,4,4.10%,,,
45-49,3,3.10%,,,
50-54,2,2.00%,,,
55-59,2,2.00%,,,
60-64,0,0.00%,,,
65 & Over,0,0.00%,,,
