Age,Number,Percent,,,
Under 10,5,0.20%,,,
10-12,52,2.20%,,,
13-14,128,5.40%,,,
15,98,4.10%,,,
16,124,5.20%,,,
17,114,4.80%,,,
18,119,5.00%,,,
19,106,4.40%,,,
20,78,3.30%,,,
21,73,3.10%,,,
22,73,3.10%,,,
23,77,3.20%,,,
24,71,3.00%,,,
25-29,323,13.50%,,,
30-34,305,12.80%,,,
35-39,200,8.40%,,,
40-44,155,6.50%,,,
45-49,112,4.70%,,,
50-54,80,3.40%,,,
55-59,47,2.00%,,,
60-64,36,1.50%,,,
65 & Over,12,0.50%,,,
