County,Total
Albany,243
Carbon,4
Fremont,166
Johnson,24
Natrona,385
Platte,27
Sweetwater,316
Washakie,25
Big Horn,0
Converse,55
Goshen,28
Laramie,341
Niobrara,0
Sheridan,202
Teton,25
Weston,15
Campbell,413
Crook,7
Hot Springs,3
Lincoln,54
Park,103
Sublette,12
Uinta,65
State Total,"2,513"
