Embezzlement,1
All Other Larceny,1
Service/Gas Station,1
Other/Unknown,1
Arrests Made,1
No Arrests Made,1
Individual,1
Business,1
White/Hispanic,1
Unknown,1
"$1,000-$1,500",1
"$200,000- $300,000",11

