Age,Number,Percent,,,
Under 10,1,0.20%,,,
10-12,3,0.60%,,,
13-14,12,2.40%,,,
15,6,1.20%,,,
16,10,2.00%,,,
17,9,1.80%,,,
18,13,2.60%,,,
19,7,1.40%,,,
20,15,3.00%,,,
21,13,2.60%,,,
22,18,3.50%,,,
23,15,3.00%,,,
24,25,4.90%,,,
25-29,86,16.90%,,,
30-34,84,16.50%,,,
35-39,60,11.80%,,,
40-44,47,9.30%,,,
45-49,33,6.50%,,,
50-54,28,5.50%,,,
55-59,14,2.80%,,,
60-64,6,1.20%,,,
65 & Over,3,0.60%,,,
