Age,Number,Percent,,,
Under 10,0,0.00%,,,
10-12,5,9.40%,,,
13-14,3,5.70%,,,
15,1,1.90%,,,
16,1,1.90%,,,
17,0,0.00%,,,
18,1,1.90%,,,
19,0,0.00%,,,
20,2,3.80%,,,
21,3,5.70%,,,
22,0,0.00%,,,
23,0,0.00%,,,
24,2,3.80%,,,
25-29,12,22.60%,,,
30-34,8,15.10%,,,
35-39,4,7.50%,,,
40-44,4,7.50%,,,
45-49,4,7.50%,,,
50-54,0,0.00%,,,
55-59,0,0.00%,,,
60-64,2,3.80%,,,
65 & Over,1,1.90%,,,
