Age,Number,Percent,,,
Under 10,0,0.00%,,,
10-12,0,0.00%,,,
13-14,0,0.00%,,,
15,0,0.00%,,,
16,3,8.30%,,,
17,3,8.30%,,,
18,1,2.80%,,,
19,1,2.80%,,,
20,3,8.30%,,,
21,2,5.60%,,,
22,2,5.60%,,,
23,2,5.60%,,,
24,3,8.30%,,,
25-29,10,27.80%,,,
30-34,1,2.80%,,,
35-39,5,13.90%,,,
40-44,0,0.00%,,,
45-49,0,0.00%,,,
50-54,0,0.00%,,,
55-59,0,0.00%,,,
60-64,0,0.00%,,,
65 & Over,0,0.00%,,,
