Age,Number,Percent,,,
Under 10,1,0.40%,,,
10-12,6,2.40%,,,
13-14,6,2.40%,,,
15,8,3.20%,,,
16,13,5.10%,,,
17,11,4.30%,,,
18,4,1.60%,,,
19,11,4.30%,,,
20,17,6.70%,,,
21,8,3.20%,,,
22,6,2.40%,,,
23,8,3.20%,,,
24,5,2.00%,,,
25-29,42,16.60%,,,
30-34,46,18.20%,,,
35-39,21,8.30%,,,
40-44,17,6.70%,,,
45-49,10,4.00%,,,
50-54,6,2.40%,,,
55-59,2,0.80%,,,
60-64,3,1.20%,,,
65 & Over,2,0.80%,,,
