"Easy Access to Juvenile Populations: County Comparisons"
"Table:    Race by County in Wyoming"

"Selecting:"
"Year = 2016"    
"Age = 11, 12, 13, 14, 15, 16, 17"    

"counts","White","Black","American Indian","Asian","Total",
"All Counties","48567","1081","2173","601","52422",
"Albany County","2018","68","44","62","2192",
"Big Horn County","1242","14","11","9","1276",
"Campbell County","4809","67","102","43","5021",
"Carbon County","1326","19","24","13","1382",
"Converse County","1321","15","19","10","1365",
"Crook County","662","8","14","1","685",
"Fremont County","2389","36","1326","25","3776",
"Goshen County","1046","13","13","8","1080",
"Hot Springs County","395","3","4","2","404",
"Johnson County","694","11","14","2","721",
"Laramie County","7972","367","171","163","8673",
"Lincoln County","1975","23","26","6","2030",
"Natrona County","6851","167","141","78","7237",
"Niobrara County","179","2","3","4","188",
"Park County","2288","21","30","16","2355",
"Platte County","688","9","5","2","704",
"Sheridan County","2407","74","52","15","2548",
"Sublette County","827","13","12","33","885",
"Sweetwater County","4298","94","83","52","4527",
"Teton County","1459","20","22","25","1526",
"Uinta County","2300","22","31","19","2372",
"Washakie County","830","7","15","9","861",
"Weston County","591","8","11","4","614",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
