"Easy Access to Juvenile Populations: County Comparisons"
"Table:    Race by County in Wyoming"

"Selecting:"
"Year = 1992"    
"Age = 11, 12, 13, 14, 15, 16, 17"    

"counts","White","Black","American Indian","Asian","Total",
"All Counties","53583","477","1508","273","55841",
"Albany County","2398","25","37","37","2497",
"Big Horn County","1364","0","6","3","1373",
"Campbell County","4236","7","61","15","4319",
"Carbon County","1994","7","6","7","2014",
"Converse County","1530","3","20","3","1556",
"Crook County","701","0","1","0","702",
"Fremont County","3218","6","1022","7","4253",
"Goshen County","1422","4","14","0","1440",
"Hot Springs County","567","0","20","0","587",
"Johnson County","711","0","9","1","721",
"Laramie County","7645","294","83","100","8122",
"Lincoln County","2049","2","14","0","2065",
"Natrona County","6970","73","62","41","7146",
"Niobrara County","260","0","0","0","260",
"Park County","2668","4","14","11","2697",
"Platte County","990","0","1","0","991",
"Sheridan County","2762","5","28","15","2810",
"Sublette County","586","0","0","0","586",
"Sweetwater County","5476","44","53","22","5595",
"Teton County","1066","2","9","4","1081",
"Uinta County","3088","1","30","5","3124",
"Washakie County","1065","0","14","2","1081",
"Weston County","817","0","4","0","821",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
