"Easy Access to Juvenile Populations: County Comparisons"
"Table:    Race by County in Wyoming"

"Selecting:"
"Year = 2002"    
"Age = 11, 12, 13, 14, 15, 16, 17"    

"counts","White","Black","American Indian","Asian","Total",
"All Counties","51435","603","1916","377","54331",
"Albany County","2102","45","39","36","2222",
"Big Horn County","1337","6","18","7","1368",
"Campbell County","4513","18","70","25","4626",
"Carbon County","1489","16","19","16","1540",
"Converse County","1468","12","16","7","1503",
"Crook County","723","0","11","0","734",
"Fremont County","2886","12","1217","15","4130",
"Goshen County","1261","5","23","10","1299",
"Hot Springs County","462","1","16","1","480",
"Johnson County","736","0","4","1","741",
"Laramie County","8017","279","97","103","8496",
"Lincoln County","1950","11","13","7","1981",
"Natrona County","6937","92","129","45","7203",
"Niobrara County","240","1","0","0","241",
"Park County","2686","11","20","20","2737",
"Platte County","1014","5","9","3","1031",
"Sheridan County","2764","13","74","25","2876",
"Sublette County","661","2","4","3","670",
"Sweetwater County","4301","55","61","20","4437",
"Teton County","1555","4","8","11","1578",
"Uinta County","2683","6","43","13","2745",
"Washakie County","941","5","16","7","969",
"Weston County","709","4","9","2","724",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
