"Easy Access to Juvenile Populations: County Comparisons"
"Table:    Race by County in Wyoming"

"Selecting:"
"Year = 2017"    
"Age = 11, 12, 13, 14, 15, 16, 17"    

"counts","White","Black","American Indian","Asian","Total",
"All Counties","48602","1128","2198","585","52513",
"Albany County","2066","96","39","56","2257",
"Big Horn County","1242","11","9","11","1273",
"Campbell County","4615","60","100","38","4813",
"Carbon County","1293","25","22","11","1351",
"Converse County","1318","12","19","9","1358",
"Crook County","640","8","16","2","666",
"Fremont County","2379","35","1348","23","3785",
"Goshen County","1030","11","18","8","1067",
"Hot Springs County","389","2","3","3","397",
"Johnson County","726","12","19","1","758",
"Laramie County","8103","377","167","167","8814",
"Lincoln County","2029","16","29","10","2084",
"Natrona County","6840","163","144","71","7218",
"Niobrara County","148","3","3","0","154",
"Park County","2322","21","35","13","2391",
"Platte County","648","10","5","4","667",
"Sheridan County","2475","89","52","14","2630",
"Sublette County","803","15","11","39","868",
"Sweetwater County","4323","93","82","43","4541",
"Teton County","1532","20","22","32","1606",
"Uinta County","2278","26","30","18","2352",
"Washakie County","843","10","14","8","875",
"Weston County","560","13","11","4","588",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
