"Easy Access to Juvenile Populations: County Comparisons"
"Table:    Race by County in Wyoming"

"Selecting:"
"Year = 1994"    
"Age = 11, 12, 13, 14, 15, 16, 17"    

"counts","White","Black","American Indian","Asian","Total",
"All Counties","56723","474","1720","284","59201",
"Albany County","2537","26","37","37","2637",
"Big Horn County","1447","0","9","4","1460",
"Campbell County","4434","4","72","15","4525",
"Carbon County","2001","8","8","12","2029",
"Converse County","1602","4","20","3","1629",
"Crook County","761","0","4","0","765",
"Fremont County","3376","7","1161","5","4549",
"Goshen County","1458","0","17","0","1475",
"Hot Springs County","580","0","22","0","602",
"Johnson County","762","0","9","1","772",
"Laramie County","8232","282","96","104","8714",
"Lincoln County","2197","3","10","0","2210",
"Natrona County","7443","81","77","38","7639",
"Niobrara County","268","0","0","0","268",
"Park County","2924","3","20","13","2960",
"Platte County","1049","0","1","0","1050",
"Sheridan County","2958","6","44","19","3027",
"Sublette County","663","0","0","0","663",
"Sweetwater County","5585","48","60","22","5715",
"Teton County","1243","1","7","4","1255",
"Uinta County","3216","1","31","5","3253",
"Washakie County","1139","0","11","2","1152",
"Weston County","848","0","4","0","852",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
