"Easy Access to Juvenile Populations: County Comparisons"
"Table:    Race by County in Wyoming"

"Selecting:"
"Year = 2008"    
"Age = 11, 12, 13, 14, 15, 16, 17"    

"counts","White","Black","American Indian","Asian","Total",
"All Counties","47445","853","2001","461","50760",
"Albany County","1971","46","27","51","2095",
"Big Horn County","1217","11","9","4","1241",
"Campbell County","4348","40","84","28","4500",
"Carbon County","1324","7","26","11","1368",
"Converse County","1337","22","12","2","1373",
"Crook County","665","2","7","0","674",
"Fremont County","2497","17","1188","23","3725",
"Goshen County","1062","11","18","5","1096",
"Hot Springs County","371","6","10","5","392",
"Johnson County","762","6","7","3","778",
"Laramie County","7648","362","153","120","8283",
"Lincoln County","1928","14","27","5","1974",
"Natrona County","6552","133","131","64","6880",
"Niobrara County","229","2","0","2","233",
"Park County","2379","23","31","16","2449",
"Platte County","826","4","7","6","843",
"Sheridan County","2452","26","85","18","2581",
"Sublette County","818","6","19","5","848",
"Sweetwater County","3969","76","76","45","4166",
"Teton County","1451","8","14","23","1496",
"Uinta County","2298","20","33","16","2367",
"Washakie County","767","8","24","9","808",
"Weston County","574","3","13","0","590",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
