"Easy Access to Juvenile Populations: County Comparisons"
"Table:    Race by County in Wyoming"

"Selecting:"
"Year = 2003"    
"Age = 11, 12, 13, 14, 15, 16, 17"    

"counts","White","Black","American Indian","Asian","Total",
"All Counties","50117","625","1946","365","53053",
"Albany County","2026","45","36","36","2143",
"Big Horn County","1327","7","16","9","1359",
"Campbell County","4395","24","73","19","4511",
"Carbon County","1421","15","17","14","1467",
"Converse County","1473","14","14","7","1508",
"Crook County","691","0","11","0","702",
"Fremont County","2804","13","1237","15","4069",
"Goshen County","1226","9","22","10","1267",
"Hot Springs County","441","1","17","1","460",
"Johnson County","744","1","5","1","751",
"Laramie County","7968","278","126","103","8475",
"Lincoln County","1901","15","13","6","1935",
"Natrona County","6814","85","128","46","7073",
"Niobrara County","219","1","0","0","220",
"Park County","2628","12","20","21","2681",
"Platte County","961","4","8","4","977",
"Sheridan County","2608","18","78","16","2720",
"Sublette County","678","3","6","3","690",
"Sweetwater County","4124","55","52","24","4255",
"Teton County","1545","4","6","10","1565",
"Uinta County","2548","12","35","13","2608",
"Washakie County","900","5","16","6","927",
"Weston County","675","4","10","1","690",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
