"Easy Access to Juvenile Populations: County Comparisons"
"Table:    Race by County in Wyoming"

"Selecting:"
"Year = 2006"    
"Age = 11, 12, 13, 14, 15, 16, 17"    

"counts","White","Black","American Indian","Asian","Total",
"All Counties","48022","754","1987","406","51169",
"Albany County","1946","46","30","34","2056",
"Big Horn County","1240","11","11","3","1265",
"Campbell County","4269","35","84","24","4412",
"Carbon County","1310","9","28","12","1359",
"Converse County","1382","23","13","4","1422",
"Crook County","648","2","7","0","657",
"Fremont County","2580","15","1251","20","3866",
"Goshen County","1165","11","19","5","1200",
"Hot Springs County","351","5","8","2","366",
"Johnson County","762","6","6","2","776",
"Laramie County","7846","328","128","128","8430",
"Lincoln County","1864","13","22","5","1904",
"Natrona County","6750","107","123","50","7030",
"Niobrara County","207","1","0","2","210",
"Park County","2439","19","24","17","2499",
"Platte County","900","6","4","4","914",
"Sheridan County","2441","20","69","17","2547",
"Sublette County","740","4","14","3","761",
"Sweetwater County","3884","59","68","32","4043",
"Teton County","1555","6","11","22","1594",
"Uinta County","2335","17","37","12","2401",
"Washakie County","810","9","21","8","848",
"Weston County","598","2","9","0","609",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
