"Easy Access to Juvenile Populations: County Comparisons"
"Table:    Race by County in Wyoming"

"Selecting:"
"Year = 2007"    
"Age = 11, 12, 13, 14, 15, 16, 17"    

"counts","White","Black","American Indian","Asian","Total",
"All Counties","47751","800","1981","429","50961",
"Albany County","1914","59","33","44","2050",
"Big Horn County","1232","12","12","2","1258",
"Campbell County","4376","37","83","23","4519",
"Carbon County","1281","9","27","12","1329",
"Converse County","1372","26","18","2","1418",
"Crook County","680","2","7","0","689",
"Fremont County","2546","18","1207","17","3788",
"Goshen County","1139","13","18","5","1175",
"Hot Springs County","359","6","8","4","377",
"Johnson County","768","6","6","3","783",
"Laramie County","7751","321","133","130","8335",
"Lincoln County","1866","15","21","5","1907",
"Natrona County","6682","118","132","56","6988",
"Niobrara County","202","1","0","2","205",
"Park County","2372","21","28","20","2441",
"Platte County","877","5","7","7","896",
"Sheridan County","2409","21","77","15","2522",
"Sublette County","781","6","13","4","804",
"Sweetwater County","3907","66","67","35","4075",
"Teton County","1506","9","14","24","1553",
"Uinta County","2328","18","37","11","2394",
"Washakie County","804","9","20","8","841",
"Weston County","599","2","13","0","614",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
