"Easy Access to Juvenile Populations: County Comparisons"
"Table:    Race by County in Wyoming"

"Selecting:"
"Year = 1990"    
"Age = 11, 12, 13, 14, 15, 16, 17"    

"counts","White","Black","American Indian","Asian","Total",
"All Counties","49813","399","1307","306","51825",
"Albany County","2228","18","31","39","2316",
"Big Horn County","1287","0","6","4","1297",
"Campbell County","3838","7","49","13","3907",
"Carbon County","1995","6","6","10","2017",
"Converse County","1443","2","18","4","1467",
"Crook County","656","0","1","0","657",
"Fremont County","3061","6","893","7","3967",
"Goshen County","1380","0","15","0","1395",
"Hot Springs County","545","0","18","0","563",
"Johnson County","669","0","8","1","678",
"Laramie County","6965","256","69","114","7404",
"Lincoln County","1914","1","12","0","1927",
"Natrona County","6472","55","46","41","6614",
"Niobrara County","253","0","0","0","253",
"Park County","2454","3","17","11","2485",
"Platte County","938","0","1","0","939",
"Sheridan County","2571","4","29","21","2625",
"Sublette County","536","0","0","0","536",
"Sweetwater County","5082","39","41","29","5191",
"Teton County","890","1","11","4","906",
"Uinta County","2833","1","23","5","2862",
"Washakie County","1039","0","10","3","1052",
"Weston County","764","0","3","0","767",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
