Year,Age Range,County,White,Black,American Indian,Asian,Total
1993,11-17,"Albany County","2480","30","42","36","2588",
1993,11-17,"Big Horn County","1395","0","9","3","1407",
1993,11-17,"Campbell County","4323","6","68","13","4410",
1993,11-17,"Carbon County","1991","6","7","10","2014",
1993,11-17,"Converse County","1575","3","19","3","1600",
1993,11-17,"Crook County","718","0","2","0","720",
1993,11-17,"Fremont County","3287","7","1109","6","4409",
1993,11-17,"Goshen County","1448","0","15","0","1463",
1993,11-17,"Hot Springs County","555","0","19","0","574",
1993,11-17,"Johnson County","727","0","10","1","738",
1993,11-17,"Laramie County","7976","277","90","107","8450",
1993,11-17,"Lincoln County","2109","1","13","0","2123",
1993,11-17,"Natrona County","7199","66","65","41","7371",
1993,11-17,"Niobrara County","266","0","0","0","266",
1993,11-17,"Park County","2791","3","14","11","2819",
1993,11-17,"Platte County","1019","0","1","0","1020",
1993,11-17,"Sheridan County","2870","4","34","16","2924",
1993,11-17,"Sublette County","614","0","0","0","614",
1993,11-17,"Sweetwater County","5549","46","58","26","5679",
1993,11-17,"Teton County","1173","1","8","4","1186",
1993,11-17,"Uinta County","3145","1","29","5","3180",
1993,11-17,"Washakie County","1100","0","14","2","1116",
1993,11-17,"Weston County","829","0","3","0","832",
1990,11-17,"Albany County","2228","18","31","39","2316",
1990,11-17,"Big Horn County","1287","0","6","4","1297",
1990,11-17,"Campbell County","3838","7","49","13","3907",
1990,11-17,"Carbon County","1995","6","6","10","2017",
1990,11-17,"Converse County","1443","2","18","4","1467",
1990,11-17,"Crook County","656","0","1","0","657",
1990,11-17,"Fremont County","3061","6","893","7","3967",
1990,11-17,"Goshen County","1380","0","15","0","1395",
1990,11-17,"Hot Springs County","545","0","18","0","563",
1990,11-17,"Johnson County","669","0","8","1","678",
1990,11-17,"Laramie County","6965","256","69","114","7404",
1990,11-17,"Lincoln County","1914","1","12","0","1927",
1990,11-17,"Natrona County","6472","55","46","41","6614",
1990,11-17,"Niobrara County","253","0","0","0","253",
1990,11-17,"Park County","2454","3","17","11","2485",
1990,11-17,"Platte County","938","0","1","0","939",
1990,11-17,"Sheridan County","2571","4","29","21","2625",
1990,11-17,"Sublette County","536","0","0","0","536",
1990,11-17,"Sweetwater County","5082","39","41","29","5191",
1990,11-17,"Teton County","890","1","11","4","906",
1990,11-17,"Uinta County","2833","1","23","5","2862",
1990,11-17,"Washakie County","1039","0","10","3","1052",
1990,11-17,"Weston County","764","0","3","0","767",
2009,11-17,"Albany County","2026","52","23","67","2168",
2009,11-17,"Big Horn County","1214","11","9","3","1237",
2009,11-17,"Campbell County","4498","44","94","23","4659",
2009,11-17,"Carbon County","1346","8","30","8","1392",
2009,11-17,"Converse County","1358","29","16","3","1406",
2009,11-17,"Crook County","640","2","8","0","650",
2009,11-17,"Fremont County","2461","20","1202","21","3704",
2009,11-17,"Goshen County","1087","16","18","5","1126",
2009,11-17,"Hot Springs County","377","6","10","4","397",
2009,11-17,"Johnson County","734","6","7","3","750",
2009,11-17,"Laramie County","7568","394","160","130","8252",
2009,11-17,"Lincoln County","1913","15","31","7","1966",
2009,11-17,"Natrona County","6510","158","125","62","6855",
2009,11-17,"Niobrara County","214","2","0","2","218",
2009,11-17,"Park County","2345","22","33","19","2419",
2009,11-17,"Platte County","776","4","7","8","795",
2009,11-17,"Sheridan County","2406","25","86","16","2533",
2009,11-17,"Sublette County","855","6","18","4","883",
2009,11-17,"Sweetwater County","4029","83","67","43","4222",
2009,11-17,"Teton County","1411","10","15","30","1466",
2009,11-17,"Uinta County","2318","20","37","14","2389",
2009,11-17,"Washakie County","780","8","26","10","824",
2009,11-17,"Weston County","601","3","15","0","619",
2015,11-17,"Albany County","1938","68","40","63","2109",
2015,11-17,"Big Horn County","1211","14","11","11","1247",
2015,11-17,"Campbell County","4794","63","104","44","5005",
2015,11-17,"Carbon County","1318","25","26","10","1379",
2015,11-17,"Converse County","1337","23","20","9","1389",
2015,11-17,"Crook County","635","8","13","1","657",
2015,11-17,"Fremont County","2398","38","1303","22","3761",
2015,11-17,"Goshen County","1084","14","13","9","1120",
2015,11-17,"Hot Springs County","388","2","5","3","398",
2015,11-17,"Johnson County","674","10","11","0","695",
2015,11-17,"Laramie County","7894","360","189","155","8598",
2015,11-17,"Lincoln County","1922","20","21","7","1970",
2015,11-17,"Natrona County","6791","170","143","81","7185",
2015,11-17,"Niobrara County","200","4","0","4","208",
2015,11-17,"Park County","2209","23","32","14","2278",
2015,11-17,"Platte County","682","7","7","5","701",
2015,11-17,"Sheridan County","2428","69","57","13","2567",
2015,11-17,"Sublette County","833","11","13","28","885",
2015,11-17,"Sweetwater County","4303","83","75","53","4514",
2015,11-17,"Teton County","1440","12","21","32","1505",
2015,11-17,"Uinta County","2334","26","31","14","2405",
2015,11-17,"Washakie County","822","7","22","9","860",
2015,11-17,"Weston County","581","12","9","4","606",
2008,11-17,"Albany County","1971","46","27","51","2095",
2008,11-17,"Big Horn County","1217","11","9","4","1241",
2008,11-17,"Campbell County","4348","40","84","28","4500",
2008,11-17,"Carbon County","1324","7","26","11","1368",
2008,11-17,"Converse County","1337","22","12","2","1373",
2008,11-17,"Crook County","665","2","7","0","674",
2008,11-17,"Fremont County","2497","17","1188","23","3725",
2008,11-17,"Goshen County","1062","11","18","5","1096",
2008,11-17,"Hot Springs County","371","6","10","5","392",
2008,11-17,"Johnson County","762","6","7","3","778",
2008,11-17,"Laramie County","7648","362","153","120","8283",
2008,11-17,"Lincoln County","1928","14","27","5","1974",
2008,11-17,"Natrona County","6552","133","131","64","6880",
2008,11-17,"Niobrara County","229","2","0","2","233",
2008,11-17,"Park County","2379","23","31","16","2449",
2008,11-17,"Platte County","826","4","7","6","843",
2008,11-17,"Sheridan County","2452","26","85","18","2581",
2008,11-17,"Sublette County","818","6","19","5","848",
2008,11-17,"Sweetwater County","3969","76","76","45","4166",
2008,11-17,"Teton County","1451","8","14","23","1496",
2008,11-17,"Uinta County","2298","20","33","16","2367",
2008,11-17,"Washakie County","767","8","24","9","808",
2008,11-17,"Weston County","574","3","13","0","590",
2001,11-17,"Albany County","2179","43","44","35","2301",
2001,11-17,"Big Horn County","1347","6","19","7","1379",
2001,11-17,"Campbell County","4518","10","66","24","4618",
2001,11-17,"Carbon County","1548","14","20","16","1598",
2001,11-17,"Converse County","1463","9","16","5","1493",
2001,11-17,"Crook County","733","0","12","0","745",
2001,11-17,"Fremont County","2994","11","1179","14","4198",
2001,11-17,"Goshen County","1266","5","20","10","1301",
2001,11-17,"Hot Springs County","482","1","16","1","500",
2001,11-17,"Johnson County","749","0","5","1","755",
2001,11-17,"Laramie County","8097","291","112","109","8609",
2001,11-17,"Lincoln County","1981","10","14","5","2010",
2001,11-17,"Natrona County","7012","100","134","47","7293",
2001,11-17,"Niobrara County","247","0","0","1","248",
2001,11-17,"Park County","2754","7","17","20","2798",
2001,11-17,"Platte County","1021","5","9","3","1038",
2001,11-17,"Sheridan County","2844","13","74","26","2957",
2001,11-17,"Sublette County","662","2","4","3","671",
2001,11-17,"Sweetwater County","4454","58","56","20","4588",
2001,11-17,"Teton County","1556","3","5","11","1575",
2001,11-17,"Uinta County","2796","3","40","11","2850",
2001,11-17,"Washakie County","995","5","11","8","1019",
2001,11-17,"Weston County","745","3","10","1","759",
1996,11-17,"Albany County","2565","29","38","40","2672",
1996,11-17,"Big Horn County","1507","0","9","3","1519",
1996,11-17,"Campbell County","4626","5","76","18","4725",
1996,11-17,"Carbon County","1928","9","5","16","1958",
1996,11-17,"Converse County","1653","5","19","2","1679",
1996,11-17,"Crook County","796","0","5","0","801",
1996,11-17,"Fremont County","3436","8","1215","5","4664",
1996,11-17,"Goshen County","1433","0","20","0","1453",
1996,11-17,"Hot Springs County","571","0","19","0","590",
1996,11-17,"Johnson County","789","0","7","1","797",
1996,11-17,"Laramie County","8390","297","99","110","8896",
