"",Victims,,Offenders,
"",,,,
"",Number of Victims,Victims Under 18,Male Female,Under 18
Female,,,,
"",322,15,284 38,5
Male,,,,
"",153,10,41 112,11
Total,,,,
"",475,25,325 150,16
