Age,Number,Percent
Under 10,0,0.0%
10-12,0,0.0%
13-14,0,0.0%
15,2,6.9%
16,2,6.9%
17,3,10.3%
18,2,6.9%
19,1,3.4%
20,2,6.9%
21,3,10.3%
22,1,3.4%
23,2,6.9%
24,0,0.0%
25-29,3,10.3%
30-34,3,10.3%
35-39,2,6.9%
40-44,2,6.9%
45-49,0,0.0%
50-54,0,0.0%
55-59,1,3.4%
60-64,0,0.0%
65 & Over,0,0.0%
