County,Total
Albany,235
Carbon,12
Fremont,199
Johnson,8
Natrona,285
Platte,27
Sweetwater,225
Washakie,4
Big Horn,1
Converse,22
Goshen,21
Laramie,618
Niobrara,0
Sheridan,224
Teton,28
Weston,16
Campbell,399
Crook,7
Hot Springs,3
Lincoln,56
Park,115
Sublette,24
Uinta,63
State Total,"2,592"
