Age,Number,Percent,,,
Under 10,3,0.10%,,,
10-12,36,1.40%,,,
13-14,122,4.60%,,,
15,83,3.10%,,,
16,77,2.90%,,,
17,79,3.00%,,,
18,70,2.60%,,,
19,49,1.80%,,,
20,60,2.30%,,,
21,92,3.50%,,,
22,72,2.70%,,,
23,83,3.10%,,,
24,98,3.70%,,,
25-29,457,17.20%,,,
30-34,369,13.90%,,,
35-39,272,10.20%,,,
40-44,220,8.30%,,,
45-49,189,7.10%,,,
50-54,105,3.90%,,,
55-59,64,2.40%,,,
60-64,30,1.10%,,,
65 & Over,34,1.30%,,,
