Age,Number,Percent,,,
Under 10,0,0.00%,,,
10-12,1,1.00%,,,
13-14,6,6.10%,,,
15,9,9.10%,,,
16,4,4.00%,,,
17,9,9.10%,,,
18,4,4.00%,,,
19,2,2.00%,,,
20,5,5.10%,,,
21,5,5.10%,,,
22,0,0.00%,,,
23,3,3.00%,,,
24,4,4.00%,,,
25-29,16,16.20%,,,
30-34,10,10.10%,,,
35-39,8,8.10%,,,
40-44,6,6.10%,,,
45-49,3,3.00%,,,
50-54,1,1.00%,,,
55-59,2,2.00%,,,
60-64,0,0.00%,,,
65 & Over,1,0.00%,,,
