Age,Number,Percent,,,
Under 10,0,0.00%,,,
10-12,0,0.00%,,,
13-14,1,3.10%,,,
15,1,3.10%,,,
16,1,3.10%,,,
17,3,9.40%,,,
18,1,3.10%,,,
19,0,0.00%,,,
20,1,3.10%,,,
21,0,0.00%,,,
22,4,12.50%,,,
23,2,6.30%,,,
24,2,6.30%,,,
25-29,6,18.80%,,,
30-34,5,15.60%,,,
35-39,0,0.00%,,,
40-44,1,3.10%,,,
45-49,2,6.30%,,,
50-54,2,6.30%,,,
55-59,0,0.00%,,,
60-64,0,0.00%,,,
65 & Over,0,0.00%,,,
