Age,Number,Percent,,,
Under 10,9,0.30%,,,
10-12,63,2.40%,,,
13-14,137,5.30%,,,
15,124,4.80%,,,
16,122,4.70%,,,
17,112,4.30%,,,
18,152,5.80%,,,
19,159,6.10%,,,
20,91,3.50%,,,
21,77,3.00%,,,
22,85,3.30%,,,
23,82,3.20%,,,
24,89,3.40%,,,
25-29,352,13.50%,,,
30-34,305,11.70%,,,
35-39,180,6.90%,,,
40-44,160,6.10%,,,
45-49,106,4.10%,,,
50-54,88,3.40%,,,
55-59,58,2.20%,,,
60-64,26,1.00%,,,
65 & Over,26,1.00%,,,
