Age,Number,Percent,,,
Under 10,0,0.00%,,,
10-12,2,0.50%,,,
13-14,8,2.00%,,,
15,5,1.20%,,,
16,10,2.50%,,,
17,4,1.00%,,,
18,8,2.00%,,,
19,3,0.70%,,,
20,11,2.70%,,,
21,10,2.50%,,,
22,18,4.40%,,,
23,8,2.00%,,,
24,12,3.00%,,,
25-29,67,16.50%,,,
30-34,66,16.30%,,,
35-39,37,9.10%,,,
40-44,36,8.90%,,,
45-49,36,8.90%,,,
50-54,32,7.90%,,,
55-59,25,6.20%,,,
60-64,5,1.20%,,,
65 & Over,2,0.50%,,,
