Age,Number,Percent,,,
Under 10,0,0.00%,,,
10-12,0,0.00%,,,
13-14,1,2.20%,,,
15,3,6.70%,,,
16,0,0.00%,,,
17,2,4.40%,,,
18,3,6.70%,,,
19,2,4.40%,,,
20,1,2.20%,,,
21,3,6.70%,,,
22,0,0.00%,,,
23,1,2.20%,,,
24,1,2.20%,,,
25-29,3,6.70%,,,
30-34,3,6.70%,,,
35-39,5,11.10%,,,
40-44,4,8.90%,,,
45-49,3,6.70%,,,
50-54,6,13.30%,,,
55-59,2,4.40%,,,
60-64,2,4.40%,,,
65 & Over,0,0.00%,,,
