"Easy Access to Juvenile Populations"
"Table:    Sublette County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Sex = Male"

"counts","White","Black","American Indian","Asian","Total",
"0","56","1","1","1","59",
"1","51","0","0","1","52",
"2","58","0","0","0","58",
"3","66","1","1","1","69",
"4","68","1","0","0","69",
"5","68","1","2","0","71",
"6","67","3","0","0","70",
"7","74","3","0","1","78",
"8","86","3","0","0","89",
"9","75","1","0","3","79",
"10","63","2","0","0","65",
"11","60","1","1","1","63",
"12","69","1","2","0","72",
"13","68","0","0","0","68",
"14","69","1","0","4","74",
"15","54","1","0","7","62",
"16","52","1","2","2","57",
"17","73","0","3","1","77",
"18 to 20","122","1","3","1","127",
"21 to 24","179","4","7","3","193",
"25 & over","3540","53","45","30","3668",
"Total","5018","79","67","56","5220",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
