"Easy Access to Juvenile Populations"
"Table:    Converse County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2005"

"counts","White","Black","American Indian","Asian","Total",
"0","159","1","5","0","165",
"1","119","4","1","1","125",
"2","177","1","2","0","180",
"3","157","3","4","2","166",
"4","158","3","6","0","167",
"5","163","5","2","1","171",
"6","170","1","2","0","173",
"7","144","1","4","1","150",
"8","145","0","0","0","145",
"9","177","3","1","0","181",
"10","178","2","1","2","183",
"11","164","3","2","0","169",
"12","174","4","1","0","179",
"13","204","2","2","1","209",
"14","189","5","4","2","200",
"15","204","1","0","0","205",
"16","225","0","2","1","228",
"17","199","3","3","1","206",
"18 to 20","489","1","2","1","493",
"21 to 24","560","2","5","1","568",
"25 & over","8208","22","73","29","8332",
"Total","12363","67","122","43","12595",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
