"Easy Access to Juvenile Populations"
"Table:    Washakie County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Ethnicity = Non Hispanic"

"counts","White","Black","American Indian","Asian","Total",
"0","70","2","0","0","72",
"1","78","1","0","0","79",
"2","75","3","2","0","80",
"3","64","2","4","0","70",
"4","70","3","0","1","74",
"5","79","3","0","0","82",
"6","79","2","0","0","81",
"7","71","3","0","0","74",
"8","81","2","1","3","87",
"9","81","1","0","0","82",
"10","97","1","0","1","99",
"11","81","0","0","1","82",
"12","88","1","0","1","90",
"13","102","2","1","2","107",
"14","92","0","1","0","93",
"15","93","0","1","0","94",
"16","96","1","0","1","98",
"17","103","1","0","1","105",
"18 to 20","173","2","2","2","179",
"21 to 24","218","4","4","4","230",
"25 & over","5006","44","39","41","5130",
"Total","6897","78","55","58","7088",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
