"Easy Access to Juvenile Populations"
"Table:    Sheridan County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Ethnicity = Non Hispanic"

"counts","White","Black","American Indian","Asian","Total",
"0","277","6","6","7","296",
"1","293","2","4","6","305",
"2","312","4","8","11","335",
"3","284","1","5","5","295",
"4","300","2","2","3","307",
"5","312","4","5","11","332",
"6","336","5","7","3","351",
"7","325","3","6","0","334",
"8","367","2","6","7","382",
"9","366","5","5","3","379",
"10","345","7","5","0","357",
"11","318","15","6","3","342",
"12","336","7","5","1","349",
"13","323","13","5","1","342",
"14","302","5","3","0","310",
"15","312","5","11","2","330",
"16","367","5","13","3","388",
"17","324","5","5","2","336",
"18 to 20","972","20","35","12","1039",
"21 to 24","1239","23","24","13","1299",
"25 & over","19984","177","226","182","20569",
"Total","27994","316","392","275","28977",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
