"Easy Access to Juvenile Populations"
"Table:    Sweetwater County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = American Indian"

"counts","American Indian","Total",
"0","15","15",
"1","5","5",
"2","26","26",
"3","8","8",
"4","13","13",
"5","11","11",
"6","16","16",
"7","14","14",
"8","13","13",
"9","15","15",
"10","12","12",
"11","16","16",
"12","10","10",
"13","13","13",
"14","13","13",
"15","7","7",
"16","11","11",
"17","11","11",
"18 to 20","39","39",
"21 to 24","40","40",
"25 & over","445","445",
"Total","753","753",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
