"Easy Access to Juvenile Populations"
"Table:    Johnson County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = Black"

"counts","Black","Total",
"0","0","0",
"1","1","1",
"2","3","3",
"3","0","0",
"4","5","5",
"5","5","5",
"6","2","2",
"7","3","3",
"8","3","3",
"9","1","1",
"10","2","2",
"11","2","2",
"12","0","0",
"13","3","3",
"14","2","2",
"15","1","1",
"16","2","2",
"17","1","1",
"18 to 20","3","3",
"21 to 24","3","3",
"25 & over","75","75",
"Total","117","117",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
