"Easy Access to Juvenile Populations"
"Table:    Laramie County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = Black"

"counts","Black","Total",
"0","62","62",
"1","81","81",
"2","72","72",
"3","65","65",
"4","61","61",
"5","68","68",
"6","55","55",
"7","56","56",
"8","72","72",
"9","50","50",
"10","59","59",
"11","56","56",
"12","34","34",
"13","57","57",
"14","36","36",
"15","77","77",
"16","60","60",
"17","49","49",
"18 to 20","222","222",
"21 to 24","419","419",
"25 & over","1881","1881",
"Total","3592","3592",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
