"Easy Access to Juvenile Populations"
"Table:    Albany County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = American Indian"

"counts","American Indian","Total",
"0","7","7",
"1","8","8",
"2","5","5",
"3","6","6",
"4","9","9",
"5","6","6",
"6","5","5",
"7","6","6",
"8","6","6",
"9","5","5",
"10","6","6",
"11","9","9",
"12","4","4",
"13","3","3",
"14","7","7",
"15","9","9",
"16","8","8",
"17","7","7",
"18 to 20","22","22",
"21 to 24","101","101",
"25 & over","278","278",
"Total","517","517",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
