"Easy Access to Juvenile Populations"
"Table:    Sweetwater County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = Black"

"counts","Black","Total",
"0","14","14",
"1","20","20",
"2","16","16",
"3","15","15",
"4","17","17",
"5","10","10",
"6","19","19",
"7","17","17",
"8","18","18",
"9","13","13",
"10","12","12",
"11","14","14",
"12","13","13",
"13","12","12",
"14","15","15",
"15","13","13",
"16","10","10",
"17","13","13",
"18 to 20","32","32",
"21 to 24","58","58",
"25 & over","428","428",
"Total","779","779",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
