"Easy Access to Juvenile Populations"
"Table:    Sublette County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Ethnicity = Hispanic"

"counts","White","Black","American Indian","Asian","Total",
"0","17","1","0","0","18",
"1","9","0","0","0","9",
"2","18","0","1","3","22",
"3","13","0","1","0","14",
"4","13","1","0","0","14",
"5","11","0","1","0","12",
"6","6","1","0","0","7",
"7","24","2","0","0","26",
"8","15","1","0","0","16",
"9","23","0","0","0","23",
"10","8","0","1","0","9",
"11","14","0","1","0","15",
"12","16","0","0","0","16",
"13","11","0","1","0","12",
"14","12","0","0","2","14",
"15","11","0","1","1","13",
"16","19","0","1","0","20",
"17","17","0","2","1","20",
"18 to 20","42","1","3","0","46",
"21 to 24","39","0","3","0","42",
"25 & over","391","7","20","4","422",
"Total","729","14","36","11","790",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
