"Easy Access to Juvenile Populations"
"Table:    Sublette County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2000"

"counts","White","Black","American Indian","Asian","Total",
"0","64","1","1","0","66",
"1","66","1","1","0","68",
"2","59","1","0","0","60",
"3","76","1","0","0","77",
"4","75","0","1","1","77",
"5","61","0","0","0","61",
"6","93","0","1","0","94",
"7","79","0","0","0","79",
"8","83","0","1","0","84",
"9","78","1","1","0","80",
"10","88","0","2","0","90",
"11","105","1","2","1","109",
"12","95","0","0","0","95",
"13","97","1","0","0","98",
"14","99","0","0","0","99",
"15","93","0","0","2","95",
"16","102","0","0","0","102",
"17","99","0","0","0","99",
"18 to 20","155","1","0","0","156",
"21 to 24","200","0","2","2","204",
"25 & over","4024","11","21","14","4070",
"Total","5891","19","33","20","5963",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
