"Easy Access to Juvenile Populations"
"Table:    Uinta County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = Black"

"counts","Black","Total",
"0","8","8",
"1","10","10",
"2","8","8",
"3","8","8",
"4","7","7",
"5","13","13",
"6","5","5",
"7","3","3",
"8","4","4",
"9","6","6",
"10","5","5",
"11","3","3",
"12","2","2",
"13","2","2",
"14","3","3",
"15","5","5",
"16","3","3",
"17","3","3",
"18 to 20","8","8",
"21 to 24","19","19",
"25 & over","109","109",
"Total","234","234",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
