"Easy Access to Juvenile Populations"
"Table:    Crook County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2006"

"counts","White","Black","American Indian","Asian","Total",
"0","90","1","0","0","91",
"1","71","0","1","0","72",
"2","73","2","0","0","75",
"3","57","1","1","1","60",
"4","69","0","1","1","71",
"5","70","2","0","0","72",
"6","78","1","2","0","81",
"7","84","2","0","0","86",
"8","68","1","1","0","70",
"9","64","0","1","0","65",
"10","86","1","0","0","87",
"11","70","1","3","0","74",
"12","86","0","0","0","86",
"13","93","0","1","0","94",
"14","88","0","0","0","88",
"15","116","0","2","0","118",
"16","101","1","0","0","102",
"17","94","0","1","0","95",
"18 to 20","224","0","1","0","225",
"21 to 24","243","0","3","0","246",
"25 & over","4284","6","33","5","4328",
"Total","6209","19","51","7","6286",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
