"Easy Access to Juvenile Populations"
"Table:    Natrona County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 1994"

"counts","White","Black","American Indian","Asian","Total",
"0","863","10","9","3","885",
"1","877","10","9","6","902",
"2","841","12","14","1","868",
"3","889","10","20","8","927",
"4","951","19","11","3","984",
"5","927","11","10","5","953",
"6","930","16","10","1","957",
"7","972","20","7","7","1006",
"8","998","11","10","4","1023",
"9","1047","12","14","12","1085",
"10","1107","21","9","7","1144",
"11","1110","11","8","6","1135",
"12","1095","13","12","5","1125",
"13","1077","10","16","9","1112",
"14","1073","16","14","5","1108",
"15","1076","11","15","8","1110",
"16","982","6","4","2","994",
"17","1030","14","8","3","1055",
"18 to 20","2901","51","26","17","2995",
"21 to 24","3068","22","38","17","3145",
"25 & over","40067","241","326","169","40803",
"Total","63881","547","590","298","65316",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
