"Easy Access to Juvenile Populations"
"Table:    Converse County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Ethnicity = Hispanic"

"counts","White","Black","American Indian","Asian","Total",
"0","20","2","2","0","24",
"1","21","1","1","2","25",
"2","27","2","6","0","35",
"3","28","0","1","0","29",
"4","23","1","3","0","27",
"5","16","0","0","0","16",
"6","26","1","2","0","29",
"7","26","1","1","0","28",
"8","18","1","1","0","20",
"9","23","1","2","1","27",
"10","31","2","1","0","34",
"11","19","2","0","0","21",
"12","17","0","0","0","17",
"13","22","0","0","0","22",
"14","20","1","0","0","21",
"15","24","1","0","0","25",
"16","15","0","0","1","16",
"17","20","3","2","0","25",
"18 to 20","60","5","1","0","66",
"21 to 24","59","2","1","0","62",
"25 & over","536","6","33","8","583",
"Total","1051","32","57","12","1152",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
