"Easy Access to Juvenile Populations"
"Table:    Sweetwater County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = White"

"counts","White","Total",
"0","543","543",
"1","604","604",
"2","586","586",
"3","647","647",
"4","539","539",
"5","616","616",
"6","637","637",
"7","695","695",
"8","682","682",
"9","677","677",
"10","711","711",
"11","632","632",
"12","638","638",
"13","636","636",
"14","617","617",
"15","596","596",
"16","611","611",
"17","590","590",
"18 to 20","1573","1573",
"21 to 24","1996","1996",
"25 & over","27347","27347",
"Total","42173","42173",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
