"Easy Access to Juvenile Populations"
"Table:    Albany County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 1994"

"counts","White","Black","American Indian","Asian","Total",
"0","351","4","3","9","367",
"1","335","12","4","18","369",
"2","350","3","6","12","371",
"3","344","0","6","4","354",
"4","350","7","4","8","369",
"5","342","5","3","9","359",
"6","317","6","6","3","332",
"7","346","7","6","5","364",
"8","342","8","3","2","355",
"9","374","5","7","8","394",
"10","376","6","5","2","389",
"11","361","5","4","7","377",
"12","368","6","1","10","385",
"13","369","5","9","6","389",
"14","361","0","7","4","372",
"15","353","4","8","4","369",
"16","359","0","7","2","368",
"17","366","6","1","4","377",
"18 to 20","3982","57","25","44","4108",
"21 to 24","4620","48","35","129","4832",
"25 & over","16342","108","132","344","16926",
"Total","31308","302","282","634","32526",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
