"Easy Access to Juvenile Populations"
"Table:    Hot Springs County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2008"

"counts","White","Black","American Indian","Asian","Total",
"0","51","0","1","0","52",
"1","63","1","3","0","67",
"2","31","1","1","0","33",
"3","42","1","1","0","44",
"4","38","1","0","0","39",
"5","44","0","2","0","46",
"6","47","1","0","0","48",
"7","42","1","0","1","44",
"8","53","1","1","0","55",
"9","66","1","2","1","70",
"10","47","0","1","0","48",
"11","47","1","1","0","49",
"12","76","0","0","1","77",
"13","51","1","2","1","55",
"14","48","2","0","1","51",
"15","54","0","2","1","57",
"16","42","1","2","0","45",
"17","53","1","3","1","58",
"18 to 20","139","0","5","1","145",
"21 to 24","177","3","9","3","192",
"25 & over","3368","7","38","10","3423",
"Total","4579","24","74","21","4698",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
