Year,County_Desc,Manslaughter,Rape,Robbery,Aggravated-Assault,Burglary,Larceny-Theft,Motor-Vehicle-Theft,Arson,Other-Assaults,Forgery-Counterfeiting,Fraud,Embezzlement,Stolen-Property,Vandalism,Weapons,Prostitution,Sex-Offenses,Drug-Abuse-Violations,Drug-Abuse-Violations-Possession,Gambling-Offenses,Offenses-Against-Family-Children,Driving-Under-the-Influence,Liquor-Laws,Drunkenness,Disorderly-Conduct,All-Other-Offenses-Except-Traffic,Suspicion,Curfew-Loitering-Law-Violations,Run-a-ways,Vagrancy
2010,Hot Springs,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,1,7,0,2,5,0,0,0,0
2011,Hot Springs,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,3,4,0,0,0,8,0,3,6,0,0,0,0
2012,Hot Springs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,13,0,0,0,11,0,3,5,0,0,0,0
2013,Hot Springs,0,0,0,0,3,10,1,0,2,0,0,0,0,0,0,0,0,0,8,0,0,2,1,2,2,4,0,0,0,0
2014,Hot Springs,0,0,0,0,0,10,2,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,2,4,0,0,2,0
2015,Hot Springs,0,0,0,0,1,4,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,2,0,0,0,0
2010,Johnson,0,0,0,0,0,3,0,0,3,0,1,0,0,0,0,0,0,2,12,0,0,1,9,0,0,12,0,1,3,0
2011,Johnson,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,4,16,0,0,3,9,0,0,14,0,2,1,0
2012,Johnson,0,0,0,1,0,7,0,2,3,0,0,0,0,0,0,0,0,1,10,0,0,1,16,0,0,19,0,0,0,0
2013,Johnson,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,9,0,0,1,9,0,0,9,0,0,5,0
2014,Johnson,0,0,0,1,0,1,3,0,2,0,0,0,0,0,0,0,0,0,10,0,0,0,8,0,8,14,0,1,0,0
2015,Johnson,0,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,1,0,2,0,0,1,4,0,0,20,0,4,1,0
2010,Laramie,0,0,2,1,2,207,6,0,158,0,0,0,1,67,17,0,3,4,136,0,5,9,195,0,61,206,2,54,261,0
2011,Laramie,0,0,1,3,3,166,7,0,157,0,4,1,3,57,16,0,3,1,130,0,6,8,153,1,57,182,6,20,209,15
