"FAMILIES
  AND PEOPLE WHOSE INCOME IS BELOW THE POVERTY LEVEL2",Number,Percent,Number,Percent
"All
  families",52,8.2,"10,532",7.2
With related children under 18 years,48,19.5,"8,494",12.4
Married couple families,37,6.8,"4,139",3.5
With related children under 18 years,33,17.5,"2,719",5.7
"Families with female householder, no husband
  present",15,18.3,"5,472",28.4
With related children under 18 years,15,31.3,"4,982",36.2

"All
  people",361,"60,636",11.0
Under 18 years,105,22.2,"19,470",14.7
18 to 64 years,200,14.9,"36,902",10.6
65 years and over,56,12.6,"4,264",6.3

