"CIVILIAN
  LABOR FORCE5 (2013)",Number,Percent,Number,Percent
"Labor
  Force","7,810",100.0,"306,315",100.0
Employment,"7,348",94.1,"292,096",95.4
Unemployment,462,5.9,"14,219",4.6
"Unemployment
  Rate",5.9%,(X),4.6%,(X)

