CRIME11,Number,Percent,Number,Percent
"Violent
  Crime",3,100.0,"1,086",100.0
Murder,0,0.0,14,1.3
Forcible Rape,0,0.0,147,13.5
Robbery,0,0.0,60,5.5
Aggravated Assault,3,100.0,865,79.7
"Property
  Crime",8,100.0,"12,791",100.0
Burglary,1,12.5,"2,061",16.1
Larceny-Theft,6,75.0,"10,182",79.6
Motor Vehicle Theft,1,12.5,548,4.3

