MORTGAGE STATUS2,Number,Percent,Number,Percent
"Owner-occupied
  units",665,100.0,"155,659",100.0
Housing units with a mortgage,281,42.3,"94,301",60.6
Housing units without a mortgage,384,57.7,"61,358",39.4

