AGRICULTURE7,Number,Percent,Number,Percent
"Number
  of Farms","1,116",(X),"11,736",(X)
"Land in
  Farms (thousands of acres)","1,676",(X),"30,364",(X)
"Total
  Cash Receipts (thousands of dollars)","$219,472",100.0,"$1,663,761",100.0
Livestock and Products,"$181,920",82.9,"$1,235,198",74.2
Crops,"$37,552",17.1,"$428,563",25.8
"Net Farm
  Income (thousands of dollars)","$64,499",(X),"$268,001",(X)

