"COMPONENTS
  OF POPULATION CHANGE1",Number,Percent,Number,Percent
"Total
  Population Change",270,100.0,"9,056",100.0
Natural Change,61,22.6,"3,000",33.1
Births,175,(X),"7,426",(X)
Deaths,114,(X),"4,426",(X)
Net Migration,209,77.4,"6,056",66.9

