"HOUSING
  UNITS2",Number,Percent,Number,Percent
"Total
  housing units","8,706",100.0,"261,430",100.0
Occupied housing units,"7,249",83.3,"221,479",84.7
Owner-occupied,"5,402",74.5,"155,659",70.3
Renter-occupied,"1,847",25.5,"65,820",29.7
Vacant housing units,"1,457",16.7,"39,951",15.3

Homeowner vacancy rate,(X),1.1,(X),1.7
Rental vacancy rate,(X),16.7,(X),7.9

