"HOUSING
  UNITS2",Number,Percent,Number,Percent
"Total
  housing units","33,952",100.0,"261,430",100.0
Occupied housing units,"30,406",89.6,"221,479",84.7
Owner-occupied,"21,285",70.0,"155,659",70.3
Renter-occupied,"9,121",30.0,"65,820",29.7
Vacant housing units,"3,546",10.4,"39,951",15.3

Homeowner vacancy rate,(X),1.9,(X),1.7
Rental vacancy rate,(X),6.7,(X),7.9

