"HOUSING
  UNITS2",Number,Percent,Number,Percent
"Total
  housing units","1,338",100.0,"261,430",100.0
Occupied housing units,"1,013",75.7,"221,479",84.7
Owner-occupied,665,65.6,"155,659",70.3
Renter-occupied,348,34.4,"65,820",29.7
Vacant housing units,325,24.3,"39,951",15.3

Homeowner vacancy rate,(X),1.6,(X),1.7
Rental vacancy rate,(X),9.1,(X),7.9

