"RATIO
  OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS2",Number,Percent,Number,Percent
Total:,"6,825",100.0,"549,049",100.0
Under .50,345,5.1,"24,850",4.5
.50 to .99,599,8.8,"35,786",6.5
1.00 to 1.24,227,3.3,"19,623",3.6
1.25 to 1.49,313,4.6,"23,841",4.3
1.50 to 1.84,438,6.4,"37,058",6.7
1.85 to 1.99,298,4.4,"14,161",2.6
2.00 and over,"4,605",67.5,"393,730",71.7

