"RATIO
  OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS2",Number,Percent,Number,Percent
Total:,"2,260",100.0,"549,049",100.0
Under .50,71,3.1,"24,850",4.5
.50 to .99,290,12.8,"35,786",6.5
1.00 to 1.24,62,2.7,"19,623",3.6
1.25 to 1.49,113,5.0,"23,841",4.3
1.50 to 1.84,233,10.3,"37,058",6.7
1.85 to 1.99,148,6.5,"14,161",2.6
2.00 and over,"1,343",59.4,"393,730",71.7

