"HOUSING
  UNITS2",Number,Percent,Number,Percent
"Total
  housing units","40,384",100.0,"261,430",100.0
Occupied housing units,"36,736",91.0,"221,479",84.7
Owner-occupied,"25,255",68.7,"155,659",70.3
Renter-occupied,"11,481",31.3,"65,820",29.7
Vacant housing units,"3,648",9.0,"39,951",15.3

Homeowner vacancy rate,(X),1.5,(X),1.7
Rental vacancy rate,(X),6.9,(X),7.9

