"PER
  CAPITA INCOME3",Number,Percent,Number,Percent
"Per
  capita personal income","$50,251",(X),"$50,567",(X)
"Per
  capita personal current transfer receipts","$6,441",(X),"$6,343",(X)
"Per
  capita dividends, interest, and rent","$10,853",(X),"$13,093",(X)
"Average
  nonfarm proprietors' income","$29,035",(X),"$35,391",(X)

