"PER
  CAPITA INCOME3",Number,Percent,Number,Percent
"Per
  capita personal income","$43,698",(X),"$50,567",(X)
"Per
  capita personal current transfer receipts","$5,658",(X),"$6,343",(X)
"Per
  capita dividends, interest, and rent","$6,831",(X),"$13,093",(X)
"Average
  nonfarm proprietors' income","$18,853",(X),"$35,391",(X)

