"PER
  CAPITA INCOME3",Number,Percent,Number,Percent
"Per
  capita personal income","$51,164",(X),"$50,567",(X)
"Per
  capita personal current transfer receipts","$7,169",(X),"$6,343",(X)
"Per
  capita dividends, interest, and rent","$17,517",(X),"$13,093",(X)
"Average
  nonfarm proprietors' income","$24,001",(X),"$35,391",(X)

