"CIVILIAN
  LABOR FORCE5 (2013)",Number,Percent,Number,Percent
"Labor
  Force","27,785",100.0,"306,315",100.0
Employment,"26,715",96.1,"292,096",95.4
Unemployment,"1,070",3.9,"14,219",4.6
"Unemployment
  Rate",3.9%,(X),4.6%,(X)

