"POPULATION -
  RACE/HISPANIC1",Number,Percent,Number,Percent
"All
  Races Combined","45,267",100.0,"576,412",100.0
White Alone,"42,794",94.5,"536,450",93.1
Black or African American Alone,726,1.6,"8,555",1.5
American Indian and Alaska Native Alone,575,1.3,"15,003",2.6
Asian Alone,382,0.8,"5,183",0.9
"Native Hawaiian and Other Pacific
  Islander Alone",48,0.1,575,0.1
Two or More Races,742,1.6,"10,646",1.8

"Hispanic
  (may be of any race)","7,170",15.8,"54,770",9.5
Non-Hispanic,"38,097",84.2,"521,642",90.5
White Alone,"36,113",79.8,"487,822",84.6

